Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,15.75,15.85,15.7,15.76,11.789119,495700
2013-01-03,15.74,15.83,15.69,15.76,11.789119,1855800
2013-01-04,15.73,15.95,15.73,15.94,11.923766,369400
2013-01-07,15.88,15.89,15.77,15.89,11.886366,705200
2013-01-08,15.85,15.85,15.74,15.76,11.789119,366900
2013-01-09,15.78,15.83,15.73,15.79,11.811559,1044200
2013-01-10,15.82,15.9,15.79,15.86,11.863922,506600
2013-01-11,15.87,15.87,15.77,15.84,11.848965,507700
2013-01-14,15.87,15.88,15.76,15.78,11.804079,489700
2013-01-15,15.74,15.84,15.72,15.84,11.848965,345300
2013-01-16,15.79,15.81,15.74,15.78,11.804079,695500
2013-01-17,15.83,15.88,15.81,15.87,11.871401,276500
2013-01-18,15.89,15.98,15.89,15.95,11.931247,578400
2013-01-21,15.97,16,15.91,16,11.968651,101200
2013-01-22,15.95,16.07,15.93,16.059999,12.013532,340200
2013-01-23,15.98,16.110001,15.98,16.059999,12.013532,366800
2013-01-24,16.09,16.219999,16.09,16.17,12.095818,435600
2013-01-25,16.219999,16.309999,16.209999,16.209999,12.125738,353000
2013-01-28,16.27,16.280001,16.17,16.209999,12.125738,232300
2013-01-29,16.200001,16.25,16.190001,16.23,12.140698,302400
2013-01-30,16.209999,16.33,16.16,16.18,12.103298,315300
2013-01-31,16.15,16.16,16,16.030001,11.991094,1226800
2013-02-01,16.01,16.16,16.01,16.129999,12.065894,925100
2013-02-04,16.040001,16.1,16.01,16.049999,12.006052,321800
2013-02-05,16.07,16.18,16.07,16.16,12.088336,710700
2013-02-06,16.01,16.07,15.97,16.040001,11.998571,657500
2013-02-07,16.01,16.07,15.91,15.94,11.923766,354200
2013-02-08,16,16.07,16,16,11.968651,324000
2013-02-11,16,16.01,15.92,15.98,11.953689,308600
2013-02-12,15.97,16.16,15.97,16.120001,12.058413,1731300
2013-02-13,16.129999,16.16,16.110001,16.16,12.088336,255000
2013-02-14,16.120001,16.120001,15.9,15.91,11.901325,732500
2013-02-15,15.85,15.87,15.77,15.84,11.848965,558600
2013-02-19,15.86,16.01,15.86,15.98,11.953689,285700
2013-02-20,15.98,16.01,15.85,15.87,11.871401,410300
2013-02-21,15.76,15.8,15.62,15.72,11.759201,1093300
2013-02-22,15.74,15.9,15.74,15.9,11.893844,319800
2013-02-25,15.97,16.09,15.74,15.74,11.774159,755100
2013-02-26,15.72,15.76,15.55,15.67,11.721797,671000
2013-02-27,15.62,15.89,15.61,15.81,11.826522,855700
2013-02-28,15.83,15.99,15.81,15.99,11.961173,424100
2013-03-01,15.92,15.96,15.81,15.93,11.916286,851000
2013-03-04,15.92,15.93,15.73,15.77,11.796601,761600
2013-03-05,15.84,15.92,15.79,15.8,11.819043,348000
2013-03-06,15.86,15.98,15.85,15.96,11.938725,239800
2013-03-07,16.01,16.23,16,16.17,12.095818,544400
2013-03-08,16.139999,16.190001,16.1,16.190001,12.110778,426700
2013-03-11,16.139999,16.23,16.08,16.23,12.140698,270300
2013-03-12,16.25,16.360001,16.219999,16.25,12.155662,238700
2013-03-13,16.25,16.25,16.049999,16.08,12.028491,805400
2013-03-14,16.049999,16.34,16.049999,16.299999,12.193061,683100
2013-03-15,16.309999,16.49,16.309999,16.49,12.335191,646000
2013-03-18,16.34,16.41,16.290001,16.299999,12.193061,372600
2013-03-19,16.309999,16.4,16.209999,16.27,12.170621,294300
2013-03-20,16.33,16.370001,16.26,16.299999,12.193061,232700
2013-03-21,16.17,16.17,16,16,12.067113,359800
2013-03-22,16.030001,16.059999,15.94,15.99,12.059571,358300
2013-03-25,16.059999,16.059999,15.82,15.88,11.976608,361700
2013-03-26,15.88,15.95,15.85,15.92,12.006773,173000
2013-03-27,15.86,15.93,15.8,15.88,11.976608,308300
2013-03-28,15.84,16,15.84,15.92,12.006773,650100
2013-04-01,15.9,15.95,15.84,15.87,11.969064,279400
2013-04-02,15.85,15.96,15.85,15.93,12.014318,134000
2013-04-03,15.89,15.93,15.38,15.4,11.614595,550100
2013-04-04,15.38,15.39,15.08,15.08,11.373253,688000
2013-04-05,14.99,15.28,14.93,15.19,11.456212,716900
2013-04-08,15.25,15.32,15.2,15.24,11.493923,260100
2013-04-09,15.26,15.62,15.24,15.6,11.765432,427700
2013-04-10,15.63,15.79,15.63,15.78,11.901189,527200
2013-04-11,15.74,15.75,15.62,15.66,11.810686,220200
2013-04-12,15.51,15.51,15.27,15.35,11.576886,449100
2013-04-15,15.11,15.12,14.72,14.72,11.101741,1148500
2013-04-16,14.79,14.97,14.72,14.93,11.260127,412000
2013-04-17,14.81,14.81,14.48,14.54,10.965986,708000
2013-04-18,14.64,14.82,14.46,14.72,11.101741,799700
2013-04-19,14.71,14.72,14.59,14.65,11.048947,245300
2013-04-22,14.71,14.84,14.63,14.81,11.169621,416600
2013-04-23,14.82,14.87,14.73,14.8,11.16208,277800
2013-04-24,14.83,15.16,14.83,15.14,11.418507,540200
2013-04-25,15.15,15.33,15.11,15.23,11.48638,430200
2013-04-26,15.2,15.2,14.97,15.08,11.373253,649300
2013-04-29,15.19,15.32,15.15,15.22,11.478838,599500
2013-04-30,15.33,15.47,15.21,15.45,11.652305,358500
2013-05-01,15.31,15.31,15.11,15.12,11.403421,921100
2013-05-02,15.16,15.25,15.08,15.21,11.471298,475600
2013-05-03,15.34,15.45,15.3,15.31,11.546718,731300
2013-05-06,15.35,15.4,15.31,15.33,11.561799,437800
2013-05-07,15.32,15.43,15.26,15.32,11.554258,444400
2013-05-08,15.33,15.49,15.33,15.41,11.622137,305000
2013-05-09,15.42,15.53,15.38,15.48,11.674927,502000
2013-05-10,15.4,15.56,15.38,15.55,11.727727,670600
2013-05-13,15.54,15.55,15.43,15.49,11.682469,312400
2013-05-14,15.45,15.61,15.45,15.56,11.735266,338900
2013-05-15,15.49,15.53,15.39,15.48,11.674927,593200
2013-05-16,15.44,15.64,15.44,15.52,11.705098,707700
2013-05-17,15.52,15.85,15.52,15.8,11.916272,623200
2013-05-21,15.93,16.139999,15.91,16.01,12.074655,873900
2013-05-22,16.059999,16.200001,15.96,16,12.067113,894400
2013-05-23,15.75,15.96,15.71,15.92,12.006773,435700
2013-05-24,15.82,15.92,15.82,15.85,11.95398,131700
2013-05-27,15.84,15.87,15.8,15.86,11.961523,249200
2013-05-28,15.98,16.049999,15.95,15.99,12.059571,326900
2013-05-29,15.91,16.07,15.87,16.049999,12.10482,807000
2013-05-30,16.01,16.07,15.95,16.059999,12.112364,140200
2013-05-31,15.97,16.02,15.88,15.91,11.999234,698500
2013-06-03,15.87,15.87,15.75,15.83,11.938896,328100
2013-06-04,15.83,15.93,15.81,15.85,11.95398,200700
2013-06-05,15.74,15.81,15.66,15.67,11.818225,643000
2013-06-06,15.64,15.78,15.57,15.69,11.83331,427100
2013-06-07,15.66,15.74,15.56,15.69,11.83331,674900
2013-06-10,15.67,15.76,15.64,15.72,11.85594,163100
2013-06-11,15.61,15.62,15.49,15.5,11.690014,255300
2013-06-12,15.56,15.56,15.28,15.32,11.554258,243400
2013-06-13,15.27,15.48,15.21,15.45,11.652305,728000
2013-06-14,15.47,15.5,15.37,15.38,11.599509,209100
2013-06-17,15.46,15.67,15.46,15.6,11.765432,228700
2013-06-18,15.61,15.8,15.61,15.78,11.901189,307600
2013-06-19,15.66,15.71,15.57,15.61,11.855619,645200
2013-06-20,15.39,15.41,15.2,15.26,11.589801,602400
2013-06-21,15.31,15.35,15.17,15.28,11.604987,444800
2013-06-24,15.13,15.16,14.83,15.07,11.445497,282500
2013-06-25,15.11,15.2,15.07,15.17,11.521446,429900
2013-06-26,15.21,15.22,15.1,15.19,11.536634,272400
2013-06-27,15.21,15.31,15.21,15.24,11.574608,157400
2013-06-28,15.22,15.38,15.19,15.3,11.620178,143800
2013-07-02,15.34,15.46,15.34,15.45,11.734102,181400
